,Comp,SuperCell,A1,A2,numA1,numA2,numAllCat,yA2,TotEng,Converged,lambda,sigma,tilt
0,Ma8Ea0-Pb8I24,2x2x2,Ma,Ea,8,0,8,0.0,-51.0041579325,True,1.0000061638776685,0.021786636857421313,3.631789095225623e-07
1,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,1.0,-67.6109739625,True,1.0006421679725315,2.3315088506158186,2.1344341156289847e-07
2,Ma4Ea4-Pb8I24,2x2x2,Ma,Ea,4,4,8,0.5,-59.2764466875,True,1.000078550248233,0.2663626767871232,5.870813782014251e-07
3,Ma4Ea4-Pb8I24,2x2x2,Ma,Ea,4,4,8,0.5408127535138418,-59.275860835,True,1.00002154351713,0.06349715877613032,3.631789095225623e-07
4,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7206981573279169,-63.3569874925,True,1.0000006596872009,,2.1404861091801193
5,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7651712707703374,-63.41315247125,True,1.0002239639486148,,5.8786536084210965
6,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9391771500962792,-67.52048241875,True,1.0002814881176674,123.70346056504088,2.4656942745126584
7,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7786074915438936,-63.39815648375,True,1.0000308194082232,0.057216469835118584,2.84591215417198e-07
8,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7786074915438936,-63.338644975,True,1.0000469009006943,,5.5847733036964
9,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7786074915438936,-63.39003732625,True,1.0000130571285935,0.03399621958115711,0.0
10,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7786074915438936,-63.42521990875,True,1.0001554675231477,0.5230074587867588,3.014314355826332e-07
11,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7786074915438936,-63.43284109375,True,1.0000518125302806,0.17073225992771,0.0
12,Ma3Ea5-Pb8I24,2x2x2,Ma,Ea,3,5,8,0.6370809348697323,-61.38151908625,True,1.0000386298577295,,4.966775586128557
13,Ma3Ea5-Pb8I24,2x2x2,Ma,Ea,3,5,8,0.6370809348697323,-61.33504812875,True,1.0002157163595864,0.7311412719253692,2.84591215417198e-07
14,Ma3Ea5-Pb8I24,2x2x2,Ma,Ea,3,5,8,0.6370809348697323,-61.33066281125,True,1.000234436776167,0.7870125756800382,2.84591215417198e-07
15,Ma3Ea5-Pb8I24,2x2x2,Ma,Ea,3,5,8,0.6370809348697323,-61.37244823125,True,1.0006515761881525,2.3196530401840327,1.42295607708599e-07
16,Ma3Ea5-Pb8I24,2x2x2,Ma,Ea,3,5,8,0.6370809348697323,-61.38972753625,True,1.0002821331199168,1.006165974442362,3.140616007067096e-07
17,Ma1Ea7-Pb8I24,2x2x2,Ma,Ea,1,7,8,0.8260924800504735,-65.4951463325,True,1.0000497642005501,,1.855816438680048
18,Ma1Ea7-Pb8I24,2x2x2,Ma,Ea,1,7,8,0.8260924800504735,-65.52979096375,True,1.0001030208315573,0.35325052904961596,2.84591215417198e-07
19,Ma1Ea7-Pb8I24,2x2x2,Ma,Ea,1,7,8,0.8260924800504735,-65.5061498175,True,1.000203464893669,,8.445877554534784
20,Ma1Ea7-Pb8I24,2x2x2,Ma,Ea,1,7,8,0.8260924800504735,-65.546873265,True,1.0010175609214746,3.576950422758121,2.84591215417198e-07
21,Ma1Ea7-Pb8I24,2x2x2,Ma,Ea,1,7,8,0.8260924800504735,-65.52506657875,True,1.0008029996435428,2.894335423330439,2.4901731349004825e-07
22,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7781874021929355,-63.40865201875,True,1.0000320143535375,,1.8617179509170294
